Club_ID,Club,Club_Logo
C00001,"Bradford City",https://cdn.sofifa.org/teams/2/light/1804.png
C00002,"Yeovil Town",https://cdn.sofifa.org/teams/2/light/346.png
C00003,"SC Paderborn 07",https://cdn.sofifa.org/teams/2/light/10030.png
C00004,"Birmingham City",https://cdn.sofifa.org/teams/2/light/88.png
C00005,"FC Erzgebirge Aue",https://cdn.sofifa.org/teams/2/light/506.png
C00006,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png
C00007,Cagliari,https://cdn.sofifa.org/teams/2/light/1842.png
C00008,Spezia,https://cdn.sofifa.org/teams/2/light/110741.png
C00009,Padova,https://cdn.sofifa.org/teams/2/light/110912.png
C00010,"Exeter City",https://cdn.sofifa.org/teams/2/light/143.png
C00011,AIK,https://cdn.sofifa.org/teams/2/light/433.png
C00012,"Hertha BSC",https://cdn.sofifa.org/teams/2/light/166.png
C00013,Kilmarnock,https://cdn.sofifa.org/teams/2/light/82.png
C00014,"FK Haugesund",https://cdn.sofifa.org/teams/2/light/1463.png
C00015,"IF Elfsborg",https://cdn.sofifa.org/teams/2/light/700.png
C00016,"SK Brann",https://cdn.sofifa.org/teams/2/light/919.png
C00017,Morecambe,https://cdn.sofifa.org/teams/2/light/357.png
C00018,"SpVgg Unterhaching",https://cdn.sofifa.org/teams/2/light/172.png
C00019,"Standard de Liège",https://cdn.sofifa.org/teams/2/light/232.png
C00020,Colo-Colo,https://cdn.sofifa.org/teams/2/light/110980.png
C00021,"Pogo? Szczecin",https://cdn.sofifa.org/teams/2/light/110746.png
C00022,"Wis?a Kraków",https://cdn.sofifa.org/teams/2/light/1873.png
C00023,Bournemouth,https://cdn.sofifa.org/teams/2/light/1943.png
C00024,Lecce,https://cdn.sofifa.org/teams/2/light/347.png
C00025,"Athletic Club de Bilbao",https://cdn.sofifa.org/teams/2/light/448.png
C00026,Sassuolo,https://cdn.sofifa.org/teams/2/light/111974.png
C00027,"FC Schalke 04",https://cdn.sofifa.org/teams/2/light/34.png
C00028,"Olympique de Marseille",https://cdn.sofifa.org/teams/2/light/219.png
C00029,"AJ Auxerre",https://cdn.sofifa.org/teams/2/light/57.png
C00030,"FC Dallas",https://cdn.sofifa.org/teams/2/light/695.png
C00031,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png
C00032,"Newport County",https://cdn.sofifa.org/teams/2/light/112254.png
C00033,"Crewe Alexandra",https://cdn.sofifa.org/teams/2/light/121.png
C00034,"Rangers FC",https://cdn.sofifa.org/teams/2/light/86.png
C00035,"Rayo Vallecano",https://cdn.sofifa.org/teams/2/light/480.png
C00036,"Beijing Sinobo Guoan FC",https://cdn.sofifa.org/teams/2/light/111768.png
C00037,"Shamrock Rovers",https://cdn.sofifa.org/teams/2/light/306.png
C00038,"Cádiz CF",https://cdn.sofifa.org/teams/2/light/1968.png
C00039,"Real Sociedad",https://cdn.sofifa.org/teams/2/light/457.png
C00040,"RCD Mallorca",https://cdn.sofifa.org/teams/2/light/453.png
C00041,"Real Valladolid CF",https://cdn.sofifa.org/teams/2/light/462.png
C00042,"SD Eibar",https://cdn.sofifa.org/teams/2/light/467.png
C00043,"Swindon Town",https://cdn.sofifa.org/teams/2/light/1934.png
C00044,"ESTAC Troyes",https://cdn.sofifa.org/teams/2/light/294.png
C00045,Blackpool,https://cdn.sofifa.org/teams/2/light/1926.png
C00046,"Fenerbahçe SK",https://cdn.sofifa.org/teams/2/light/326.png
C00047,"FC Girondins de Bordeaux",https://cdn.sofifa.org/teams/2/light/59.png
C00048,"Sporting CP",https://cdn.sofifa.org/teams/2/light/237.png
C00049,"FC Metz",https://cdn.sofifa.org/teams/2/light/68.png
C00050,"Le Havre AC",https://cdn.sofifa.org/teams/2/light/1738.png
C00051,"New York City FC",https://cdn.sofifa.org/teams/2/light/112828.png
C00052,"Elche CF",https://cdn.sofifa.org/teams/2/light/468.png
C00053,"Scunthorpe United",https://cdn.sofifa.org/teams/2/light/1949.png
C00054,"Lincoln City",https://cdn.sofifa.org/teams/2/light/149.png
C00055,"BSC Young Boys",https://cdn.sofifa.org/teams/2/light/900.png
C00056,"Girona FC",https://cdn.sofifa.org/teams/2/light/110062.png
C00057,"AS Monaco",https://cdn.sofifa.org/teams/2/light/69.png
C00058,"UD Las Palmas",https://cdn.sofifa.org/teams/2/light/472.png
C00059,"Montreal Impact",https://cdn.sofifa.org/teams/2/light/111139.png
C00060,Millwall,https://cdn.sofifa.org/teams/2/light/97.png
C00061,"Valenciennes FC",https://cdn.sofifa.org/teams/2/light/110456.png
C00062,"Red Star FC",https://cdn.sofifa.org/teams/2/light/111273.png
C00063,"Paris Saint-Germain",https://cdn.sofifa.org/teams/2/light/73.png
C00064,"Livingston FC",https://cdn.sofifa.org/teams/2/light/621.png
C00065,Rochdale,https://cdn.sofifa.org/teams/2/light/1955.png
C00066,Middlesbrough,https://cdn.sofifa.org/teams/2/light/12.png
C00067,"BK Häcken",https://cdn.sofifa.org/teams/2/light/711.png
C00068,"West Bromwich Albion",https://cdn.sofifa.org/teams/2/light/109.png
