Nationality_ID,Nationality,Flag
Nat001,England,https://cdn.sofifa.org/flags/14.png
Nat002,Germany,https://cdn.sofifa.org/flags/21.png
Nat003,Poland,https://cdn.sofifa.org/flags/37.png
Nat004,Italy,https://cdn.sofifa.org/flags/27.png
Nat005,Canada,https://cdn.sofifa.org/flags/70.png
Nat006,Norway,https://cdn.sofifa.org/flags/36.png
Nat007,Scotland,https://cdn.sofifa.org/flags/42.png
Nat008,Sweden,https://cdn.sofifa.org/flags/46.png
Nat009,"Republic of Ireland",https://cdn.sofifa.org/flags/25.png
Nat010,Belgium,https://cdn.sofifa.org/flags/7.png
Nat011,Chile,https://cdn.sofifa.org/flags/55.png
Nat012,Spain,https://cdn.sofifa.org/flags/45.png
Nat013,Austria,https://cdn.sofifa.org/flags/4.png
Nat014,France,https://cdn.sofifa.org/flags/18.png
Nat015,Switzerland,https://cdn.sofifa.org/flags/47.png
Nat016,Wales,https://cdn.sofifa.org/flags/50.png
Nat017,"Northern Ireland",https://cdn.sofifa.org/flags/35.png
Nat018,Tunisia,https://cdn.sofifa.org/flags/145.png
Nat019,Cameroon,https://cdn.sofifa.org/flags/103.png
Nat020,"Czech Republic",https://cdn.sofifa.org/flags/12.png
Nat021,"Ivory Coast",https://cdn.sofifa.org/flags/108.png
Nat022,Portugal,https://cdn.sofifa.org/flags/38.png
Nat023,Argentina,https://cdn.sofifa.org/flags/52.png
Nat024,Turkey,https://cdn.sofifa.org/flags/48.png
Nat025,Denmark,https://cdn.sofifa.org/flags/13.png
Nat026,Iceland,https://cdn.sofifa.org/flags/24.png
Nat027,Brazil,https://cdn.sofifa.org/flags/54.png
Nat028,Finland,https://cdn.sofifa.org/flags/17.png
Nat029,Jamaica,https://cdn.sofifa.org/flags/82.png
Nat030,"Korea Republic",https://cdn.sofifa.org/flags/167.png
Nat031,Netherlands,https://cdn.sofifa.org/flags/34.png
Nat032,"United States",https://cdn.sofifa.org/flags/95.png
Nat033,"FYR Macedonia",https://cdn.sofifa.org/flags/19.png
Nat034,"El Salvador",https://cdn.sofifa.org/flags/76.png
Nat035,Morocco,https://cdn.sofifa.org/flags/129.png
Nat036,Australia,https://cdn.sofifa.org/flags/195.png
Nat037,Mexico,https://cdn.sofifa.org/flags/83.png
Nat038,Slovenia,https://cdn.sofifa.org/flags/44.png
Nat039,Uruguay,https://cdn.sofifa.org/flags/60.png
