Player_ID,Name,Age,Photo,Nationality_ID,Overall,Potential,Club_ID,Player_Value_Euros,Wage_Euros,Preferred_Foot,International_Reputation,Weak_Foot,Skill_Moves,Work_Rate,Body_Type,Jersey_Number
100803,"K. Henry",35,https://cdn.sofifa.org/players/4/19/100803.png,Nat001,67,67,C00001,180000,3000,Right,1,3,2,"Medium/ High",Lean,48
100899,"S. Phillips",40,https://cdn.sofifa.org/players/4/19/100899.png,Nat001,52,52,C00002,,1000,Right,1,3,1,"Medium/ Medium",Normal,25
101317,"M. Ratajczak",36,https://cdn.sofifa.org/players/4/19/101317.png,Nat002,63,63,C00003,50000,1000,Right,1,3,1,"Medium/ Medium",Normal,1
101473,"T. Kuszczak",36,https://cdn.sofifa.org/players/4/19/101473.png,Nat003,69,69,C00004,140000,6000,Right,2,2,1,"Medium/ Medium",Normal,29
101488,"D. Haas",34,https://cdn.sofifa.org/players/4/19/101488.png,Nat002,66,66,C00005,260000,2000,Right,1,3,1,"Medium/ Medium",Stocky,34
101880,"R. Green",38,https://cdn.sofifa.org/players/4/19/101880.png,Nat001,72,72,C00006,210000,28000,Right,2,3,1,"Medium/ Medium",Normal,31
102056,"S. Padoin",34,https://cdn.sofifa.org/players/4/19/102056.png,Nat004,71,71,C00007,675000,18000,Right,2,3,3,"Medium/ Medium",Normal,20
102064,"C. Terzi",34,https://cdn.sofifa.org/players/4/19/102064.png,Nat004,72,72,C00008,950000,4000,Right,1,3,2,"Medium/ High",Lean,19
102084,"L. Belingheri",35,https://cdn.sofifa.org/players/4/19/102084.png,Nat004,67,67,C00009,325000,1000,Right,1,3,3,"High/ Medium",Lean,25
102593,"C. Woodman",35,https://cdn.sofifa.org/players/4/19/102593.png,Nat001,62,62,C00010,70000,2000,Left,1,3,2,"Medium/ Medium",Normal,3
102881,"K. Stamatopoulos",38,https://cdn.sofifa.org/players/4/19/102881.png,Nat005,57,57,C00011,10000,1000,Left,1,2,1,"Medium/ Medium",Normal,13
104389,"R. Jarstein",33,https://cdn.sofifa.org/players/4/19/104389.png,Nat006,83,83,C00012,13000000,33000,Right,2,4,1,"Medium/ Medium",Normal,1
104442,"C. Burke",34,https://cdn.sofifa.org/players/4/19/104442.png,Nat007,67,67,C00013,375000,3000,Right,1,4,3,"High/ Medium",Normal,29
104476,"C. Grindheim",34,https://cdn.sofifa.org/players/4/19/104476.png,Nat006,67,67,C00014,375000,2000,Right,1,4,3,"Medium/ High",Normal,7
10466,"S. Ishizaki",36,https://cdn.sofifa.org/players/4/19/10466.png,Nat008,67,67,C00015,240000,2000,Right,1,3,3,"Medium/ Medium",Normal,24
104702,"D. Braaten",36,https://cdn.sofifa.org/players/4/19/104702.png,Nat006,67,67,C00016,260000,2000,Right,1,4,3,"High/ Medium",Stocky,25
104737,"B. Roche",36,https://cdn.sofifa.org/players/4/19/104737.png,Nat009,63,63,C00017,50000,1000,Right,1,3,1,"Medium/ Medium",Normal,1
104900,"M. Gurski",39,https://cdn.sofifa.org/players/4/19/104900.png,Nat002,60,60,C00018,10000,1000,Right,1,3,1,"Medium/ Medium",Stocky,34
105308,"J. Gillet",39,https://cdn.sofifa.org/players/4/19/105308.png,Nat010,70,70,C00019,120000,4000,Left,2,2,1,"Medium/ Medium",Normal,1
105318,"J. Valdés",37,https://cdn.sofifa.org/players/4/19/105318.png,Nat011,73,73,C00020,1300000,6000,Right,2,4,3,"High/ Medium",Normal,20
105533,"L. Za?uska",36,https://cdn.sofifa.org/players/4/19/105533.png,Nat003,67,67,C00021,100000,1000,Right,1,3,1,"Medium/ Medium",Normal,1
105827,"P. Bro?ek",35,https://cdn.sofifa.org/players/4/19/105827.png,Nat003,66,66,C00022,300000,2000,Right,1,4,2,"Medium/ Low",Stocky,23
105846,"A. Boruc",38,https://cdn.sofifa.org/players/4/19/105846.png,Nat003,74,74,C00023,375000,24000,Right,2,3,1,"Medium/ Medium",Normal,1
105866,"C. Bovo",35,https://cdn.sofifa.org/players/4/19/105866.png,Nat004,70,70,C00024,425000,2000,Right,2,3,2,"Medium/ Medium",Normal,31
106231,Aduriz,37,https://cdn.sofifa.org/players/4/19/106231.png,Nat012,82,82,C00025,8000000,29000,Right,3,3,3,"High/ Medium",Normal,20
