Player_ID,Position,LS_Current,LS_Potential,ST_Current,ST_Potential,RS_Current,RS_Potential,LW_Current,LW_Potential,LF_Current,LF_Potential,CF_Current,CF_Potential,RF_Current,RF_Potential,RW_Current,RW_Potential,LAM_Current,LAM_Potential,CAM_Current,CAM_Potential,RAM_Current,RAM_Potential,LM_Current,LM_Potential,LCM_Current,LCM_Potential,CM_Current,CM_Potential,RCM_Current,RCM_Potential,RM_Current,RM_Potential,LWB_Current,LWB_Potential,LDM_Current,LDM_Potential,CDM_Current,CDM_Potential,RDM_Current,RDM_Potential,RWB_Current,RWB_Potential,LB_Current,LB_Potential,LCB_Current,LCB_Potential,CB_Current,CB_Potential,RCB_Current,RCB_Potential,RB_Current,RB_Potential
100803,RDM,59,61,59,61,59,61,58,60,59,61,59,61,59,61,58,60,59,61,59,61,59,61,59,61,62,64,62,64,62,64,59,61,63,65,66,68,66,68,66,68,63,65,63,65,68,70,68,70,68,70,63,65
100899,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
101317,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
101473,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
101488,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
101880,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
102056,RB,67,69,67,69,67,69,70,72,69,71,69,71,69,71,70,72,71,73,71,73,71,73,70,72,71,73,71,73,71,73,70,72,70,72,71,73,71,73,71,73,70,72,70,72,70,72,70,72,70,72,70,72
102064,RCB,48,50,48,50,48,50,45,47,46,48,46,48,46,48,45,47,46,48,46,48,46,48,47,49,52,54,52,54,52,54,47,49,61,63,64,66,64,66,64,66,61,63,63,65,70,72,70,72,70,72,63,65
102084,CM,61,63,61,63,61,63,65,67,64,66,64,66,64,66,65,67,66,68,66,68,66,68,66,68,65,67,65,67,65,67,66,68,63,65,62,64,62,64,62,64,63,65,61,63,57,59,57,59,57,59,61,63
102593,LB,54,56,54,56,54,56,57,59,57,59,57,59,57,59,57,59,58,60,58,60,58,60,59,61,60,62,60,62,60,62,59,61,61,63,62,64,62,64,62,64,61,63,61,63,61,63,61,63,61,63,61,63
102881,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
104389,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
104442,RM,62,64,62,64,62,64,66,68,65,67,65,67,65,67,66,68,65,67,65,67,65,67,66,68,60,62,60,62,60,62,66,68,55,57,52,54,52,54,52,54,55,57,52,54,46,48,46,48,46,48,52,54
104476,CAM,63,65,63,65,63,65,62,64,64,66,64,66,64,66,62,64,65,67,65,67,65,67,63,65,67,69,67,69,67,69,63,65,62,64,66,68,66,68,66,68,62,64,60,62,62,64,62,64,62,64,60,62
